Date,BAMLEM2BRRBBBCRPIEY
23/11/2020,2.68
24/11/2020,2.68
25/11/2020,2.68
26/11/2020,2.67
27/11/2020,2.65
30/11/2020,2.64
01/12/2020,2.64
02/12/2020,2.63
03/12/2020,2.61
04/12/2020,2.6
07/12/2020,2.58
08/12/2020,2.57
09/12/2020,2.57
10/12/2020,2.55
11/12/2020,2.54
14/12/2020,2.54
15/12/2020,2.53
16/12/2020,2.52
17/12/2020,2.52
18/12/2020,2.51
21/12/2020,2.5
22/12/2020,2.5
23/12/2020,2.51
24/12/2020,2.51
25/12/2020,
28/12/2020,2.5
29/12/2020,2.5
30/12/2020,2.5
31/12/2020,2.51
01/01/2021,
04/01/2021,2.49
05/01/2021,2.5
06/01/2021,2.53
07/01/2021,2.56
08/01/2021,2.57
11/01/2021,2.59
12/01/2021,2.61
13/01/2021,2.6
14/01/2021,2.59
15/01/2021,2.58
18/01/2021,2.57
19/01/2021,2.57
20/01/2021,2.55
21/01/2021,2.54
22/01/2021,2.54
25/01/2021,2.52
26/01/2021,2.51
27/01/2021,2.5
28/01/2021,2.51
29/01/2021,2.51
31/01/2021,2.52
01/02/2021,2.52
02/02/2021,2.51
03/02/2021,2.51
04/02/2021,2.5
05/02/2021,2.5
08/02/2021,2.51
09/02/2021,2.5
10/02/2021,2.5
11/02/2021,2.48
12/02/2021,2.49
15/02/2021,2.49
16/02/2021,2.51
17/02/2021,2.53
18/02/2021,2.51
19/02/2021,2.52
22/02/2021,2.55
23/02/2021,2.55
24/02/2021,2.55
25/02/2021,2.6
26/02/2021,2.62
28/02/2021,2.64
01/03/2021,2.64
02/03/2021,2.64
03/03/2021,2.65
04/03/2021,2.67
05/03/2021,2.72
08/03/2021,2.78
09/03/2021,2.8
10/03/2021,2.79
11/03/2021,2.76
12/03/2021,2.79
15/03/2021,2.79
16/03/2021,2.77
17/03/2021,2.78
18/03/2021,2.8
19/03/2021,2.79
22/03/2021,2.78
23/03/2021,2.77
24/03/2021,2.76
25/03/2021,2.77
