Loan_ID,Country,Loan_Amount,Tenor_Months,Interest_Rate,Borrower_Type,Secured,Days_Past_Due,Credit_Score,Repayment_History,Months_Elapsed,Outstanding_Balance,Moody_Rating,Default_Spread,Country_Risk_Premium,PD_Base,Score_Factor,Delinquency_Factor,History_Factor,Collateral_Factor,PD,LGD_Base,LGD,EAD,Utilization,ECL
MF0001,Haiti,10502.13,12,0.1781,Agricultural,False,0,756.0,0.56,11,875.18,0.11884873749896686,0.05,0.20344841908628034,0.05,0.6971428571428571,1.0,1.44,1.0,0.05019428571428571,0.45,0.54,918.939,0.08333357138028191,24.9077628288
MF0002,"Yemen, Republic",7301.87,42,0.1393,SME,False,0,743.0,0.861,39,521.56,0.11884873749896686,0.05,0.20344841908628034,0.05,0.7342857142857142,1.0,1.139,1.0,0.041817571428571426,0.45,0.54,547.6379999999999,0.07142827796167282,12.366481238279999
MF0003,Russia,8756.9,18,0.1071,Women-owned,False,0,423.0,0.885,6,5837.93,0.02979948756095544,0.05,0.08345474562790181,0.05,1.6485714285714286,1.0,1.115,1.0,0.09190785714285715,0.45,0.54,6129.8265,0.6666662860144572,304.22477786715007
MF0004,Libya,13044.55,60,0.1828,Agricultural,True,0,750.0,0.764,45,3261.14,0.015830977766757574,0.05,0.06463220861482283,0.05,0.7142857142857143,1.0,1.236,0.8,0.03531428571428572,0.45,0.315,3424.197,0.25000019165091936,38.09076742800001
MF0005,Iran,4210.87,12,0.1341,Agricultural,False,0,521.0,0.879,6,2105.44,0.06437154930159515,0.05,0.13004052473527228,0.05,1.3685714285714285,1.0,1.121,1.0,0.07670842857142858,0.45,0.54,2210.712,0.5000011874030782,91.57333151376002
MF0006,Zimbabwe,43213.57,42,0.2273,Individual,True,0,525.0,0.881,18,24693.47,0.08916565418629636,0.05,0.16345052793348747,0.05,1.3571428571428572,1.0,1.119,0.8,0.06074571428571429,0.45,0.315,25928.143500000002,0.5714286044869702,496.1324330581501
MF0007,Haiti,3623.47,12,0.2489,SME,False,30,749.0,0.682,5,2113.69,0.11884873749896686,0.05,0.20344841908628034,0.05,0.7171428571428571,2.0,1.318,1.0,0.09451942857142857,0.45,0.54,2219.3745000000004,0.5833331033512076,113.27796514404004
MF0008,Syria,3067.59,18,0.2079,Women-owned,True,0,741.0,0.683,12,1022.53,0.17499999999999996,0.05,0.2791121249739206,0.05,0.74,1.0,1.317,0.8,0.038983199999999996,0.45,0.315,1073.6565,0.3333333333333333,13.184188312301998
MF0009,Libya,20465.35,42,0.0954,Individual,True,0,742.0,0.829,20,10719.95,0.015830977766757574,0.05,0.06463220861482283,0.05,0.7371428571428571,1.0,1.171,0.8,0.034527771428571434,0.45,0.315,11255.947500000002,0.5238097564908493,122.42247648498004
MF0010,Libya,15265.19,24,0.1291,Individual,True,0,636.0,0.877,0,15265.19,0.015830977766757574,0.05,0.06463220861482283,0.05,1.04,1.0,1.123,0.8,0.0467168,0.45,0.315,16028.4495,1.0,235.871328924504
MF0011,Zimbabwe,13350.32,6,0.0985,Women-owned,True,0,423.0,0.78,2,8900.21,0.08916565418629636,0.05,0.16345052793348747,0.05,1.6485714285714286,1.0,1.22,0.8,0.08045028571428572,0.45,0.315,9345.2205,0.6666664169847614,236.82508267572004
MF0012,Guinea,13395.53,30,0.1906,Individual,True,0,536.0,0.966,18,5358.21,0.08916565418629636,0.05,0.16345052793348747,0.05,1.3257142857142856,1.0,1.034,0.8,0.05483154285714286,0.45,0.315,5626.1205,0.39999985069646365,97.17399320428801
MF0013,Iran,8024.08,54,0.2101,SME,True,0,607.0,0.905,32,3269.07,0.06437154930159515,0.05,0.13004052473527228,0.05,1.1228571428571428,1.0,1.095,0.8,0.049181142857142854,0.45,0.315,3432.5235000000002,0.40740745356477004,53.17686001341
MF0014,Gambia,3952.87,48,0.2374,SME,True,0,638.0,0.899,3,3705.82,0.04458282709314819,0.05,0.10337526396674374,0.05,1.0342857142857143,1.0,1.101,0.8,0.04554994285714286,0.45,0.315,3891.1110000000003,0.9375011067907623,55.830563365752006
MF0015,Zimbabwe,8609.69,54,0.1545,Agricultural,True,30,510.0,0.931,41,2072.7,0.08916565418629636,0.05,0.16345052793348747,0.05,1.4,2.0,1.069,0.8,0.119728,0.45,0.315,2176.335,0.2407403750889985,82.07899461720001
MF0016,Brunei,4713.9,60,0.2332,Individual,False,0,562.0,0.907,2,4556.77,0.005936616662534093,0.05,0.051299578230558564,0.05,1.2514285714285713,1.0,1.093,1.0,0.06839057142857143,0.45,0.54,4784.6085,0.9666666666666668,176.69993906358
MF0017,Madagascar,17678.35,54,0.2292,Agricultural,True,60,512.0,0.684,26,9166.55,0.05447718819737166,0.05,0.116707894351008,0.05,1.3942857142857144,4.0,1.3159999999999998,0.8,0.2935808,0.45,0.315,9624.8775,0.5185184137659906,890.0889594508799
