Country Name,Country Code,Indicator Name,Indicator Code,Year,Quarter,Year_Quarter,Value
Kenya,KEN,Cash and Cash Equivalents (USD millions),CASH,2015,Q1,2015-Q1,2.125
Kenya,KEN,Cash and Cash Equivalents (USD millions),CASH,2015,Q2,2015-Q2,2.125
Kenya,KEN,Cash and Cash Equivalents (USD millions),CASH,2015,Q3,2015-Q3,2.125
Kenya,KEN,Cash and Cash Equivalents (USD millions),CASH,2015,Q4,2015-Q4,2.125
Kenya,KEN,Cash and Cash Equivalents (USD millions),CASH,2016,Q1,2016-Q1,2.3
Kenya,KEN,Cash and Cash Equivalents (USD millions),CASH,2016,Q2,2016-Q2,2.3
Kenya,KEN,Cash and Cash Equivalents (USD millions),CASH,2016,Q3,2016-Q3,2.3
Kenya,KEN,Cash and Cash Equivalents (USD millions),CASH,2016,Q4,2016-Q4,2.3
Kenya,KEN,Cash and Cash Equivalents (USD millions),CASH,2017,Q1,2017-Q1,2.525
Kenya,KEN,Cash and Cash Equivalents (USD millions),CASH,2017,Q2,2017-Q2,2.525
Kenya,KEN,Cash and Cash Equivalents (USD millions),CASH,2017,Q3,2017-Q3,2.525
Kenya,KEN,Cash and Cash Equivalents (USD millions),CASH,2017,Q4,2017-Q4,2.525
Kenya,KEN,Cash and Cash Equivalents (USD millions),CASH,2018,Q1,2018-Q1,2.825
Kenya,KEN,Cash and Cash Equivalents (USD millions),CASH,2018,Q2,2018-Q2,2.825
Kenya,KEN,Cash and Cash Equivalents (USD millions),CASH,2018,Q3,2018-Q3,2.825
Kenya,KEN,Cash and Cash Equivalents (USD millions),CASH,2018,Q4,2018-Q4,2.825
Kenya,KEN,Cash and Cash Equivalents (USD millions),CASH,2019,Q1,2019-Q1,3.2
Kenya,KEN,Cash and Cash Equivalents (USD millions),CASH,2019,Q2,2019-Q2,3.2
Kenya,KEN,Cash and Cash Equivalents (USD millions),CASH,2019,Q3,2019-Q3,3.2
Kenya,KEN,Cash and Cash Equivalents (USD millions),CASH,2019,Q4,2019-Q4,3.2
Kenya,KEN,Cash and Cash Equivalents (USD millions),CASH,2020,Q1,2020-Q1,2.975
Kenya,KEN,Cash and Cash Equivalents (USD millions),CASH,2020,Q2,2020-Q2,2.975
Kenya,KEN,Cash and Cash Equivalents (USD millions),CASH,2020,Q3,2020-Q3,2.975
Kenya,KEN,Cash and Cash Equivalents (USD millions),CASH,2020,Q4,2020-Q4,2.975
Kenya,KEN,Cash and Cash Equivalents (USD millions),CASH,2021,Q1,2021-Q1,3.375
Kenya,KEN,Cash and Cash Equivalents (USD millions),CASH,2021,Q2,2021-Q2,3.375
Kenya,KEN,Cash and Cash Equivalents (USD millions),CASH,2021,Q3,2021-Q3,3.375
Kenya,KEN,Cash and Cash Equivalents (USD millions),CASH,2021,Q4,2021-Q4,3.375
Kenya,KEN,Cash and Cash Equivalents (USD millions),CASH,2022,Q1,2022-Q1,3.8
Kenya,KEN,Cash and Cash Equivalents (USD millions),CASH,2022,Q2,2022-Q2,3.8
Kenya,KEN,Cash and Cash Equivalents (USD millions),CASH,2022,Q3,2022-Q3,3.8
Kenya,KEN,Cash and Cash Equivalents (USD millions),CASH,2022,Q4,2022-Q4,3.8
Kenya,KEN,Cash and Cash Equivalents (USD millions),CASH,2023,Q1,2023-Q1,4.2
Kenya,KEN,Cash and Cash Equivalents (USD millions),CASH,2023,Q2,2023-Q2,4.2
Kenya,KEN,Cash and Cash Equivalents (USD millions),CASH,2023,Q3,2023-Q3,4.2
Kenya,KEN,Cash and Cash Equivalents (USD millions),CASH,2023,Q4,2023-Q4,4.2
Kenya,KEN,Current Ratio (%),CR,2015,Q1,2015-Q1,144.84
Kenya,KEN,Current Ratio (%),CR,2015,Q2,2015-Q2,139.16
Kenya,KEN,Current Ratio (%),CR,2015,Q3,2015-Q3,137.74
Kenya,KEN,Current Ratio (%),CR,2015,Q4,2015-Q4,146.26
Kenya,KEN,Current Ratio (%),CR,2016,Q1,2016-Q1,150.96
Kenya,KEN,Current Ratio (%),CR,2016,Q2,2016-Q2,145.04
Kenya,KEN,Current Ratio (%),CR,2016,Q3,2016-Q3,143.56
Kenya,KEN,Current Ratio (%),CR,2016,Q4,2016-Q4,152.44
Kenya,KEN,Current Ratio (%),CR,2017,Q1,2017-Q1,158.1
Kenya,KEN,Current Ratio (%),CR,2017,Q2,2017-Q2,151.9
Kenya,KEN,Current Ratio (%),CR,2017,Q3,2017-Q3,150.35
Kenya,KEN,Current Ratio (%),CR,2017,Q4,2017-Q4,159.65
Kenya,KEN,Current Ratio (%),CR,2018,Q1,2018-Q1,165.24
Kenya,KEN,Current Ratio (%),CR,2018,Q2,2018-Q2,158.76
Kenya,KEN,Current Ratio (%),CR,2018,Q3,2018-Q3,157.14
Kenya,KEN,Current Ratio (%),CR,2018,Q4,2018-Q4,166.86
Kenya,KEN,Current Ratio (%),CR,2019,Q1,2019-Q1,171.36
Kenya,KEN,Current Ratio (%),CR,2019,Q2,2019-Q2,164.64
Kenya,KEN,Current Ratio (%),CR,2019,Q3,2019-Q3,162.96
Kenya,KEN,Current Ratio (%),CR,2019,Q4,2019-Q4,173.04
Kenya,KEN,Current Ratio (%),CR,2020,Q1,2020-Q1,155.04
Kenya,KEN,Current Ratio (%),CR,2020,Q2,2020-Q2,148.96
Kenya,KEN,Current Ratio (%),CR,2020,Q3,2020-Q3,147.44
Kenya,KEN,Current Ratio (%),CR,2020,Q4,2020-Q4,156.56
Kenya,KEN,Current Ratio (%),CR,2021,Q1,2021-Q1,168.3
Kenya,KEN,Current Ratio (%),CR,2021,Q2,2021-Q2,161.7
Kenya,KEN,Current Ratio (%),CR,2021,Q3,2021-Q3,160.04999999999998
